model,ticker,period,test_accuracy,test_sharpe,test_cum_return,test_max_dd,overfit_gap,sharpe_gap
XGB+LSTM (70/30),JPM,bear_2022,0.41935483870967744,-2.013714243519465,-0.28519430201829865,-0.37160148218849176,0.07862086979234684,2.9800238815672593
XGB+LSTM (70/30),JPM,recovery_2023,0.5483870967741935,0.9061244327766184,0.10162866361984535,-0.13440855556208697,-0.07428351111682296,-1.258816998431591
XGB+LSTM (70/30),JPM,ai_boom_2024,0.41935483870967744,-1.469131938888856,-0.1350636313670015,-0.18169904995837094,0.02464516129032257,0.28773035964205995
XGB+LSTM (50/50),AAPL,bear_2022,0.46774193548387094,-1.3475746087311609,-0.23459489384816068,-0.29877070011216866,0.06667101998171615,2.922733396470971
XGB+LSTM (50/50),AAPL,recovery_2023,0.4838709677419355,-1.7526717676599493,-0.17706078629501698,-0.3473832416125786,0.01812106413057446,1.4050839334949523
XGB+LSTM (50/50),AAPL,ai_boom_2024,0.4435483870967742,-1.1952461340262779,-0.14639662629412875,-0.28220691739445103,0.028451612903225787,0.5472648774171809
XGB+LSTM (50/50),MSFT,bear_2022,0.5403225806451613,0.4565905360590862,0.04987200405545744,-0.13731457172075123,-0.04234687214313698,-1.6217517304549962
XGB+LSTM (50/50),MSFT,recovery_2023,0.5161290322580645,2.6426248159478485,0.41738567792695025,-0.09633316418191928,-0.05397763783575377,-3.3922483827027796
XGB+LSTM (50/50),MSFT,ai_boom_2024,0.5403225806451613,2.359052581521075,0.23601243546924766,-0.09566813746868363,0.011677419354838792,-0.4403148421769536
XGB+LSTM (50/50),GOOGL,bear_2022,0.46774193548387094,-1.3472307010649012,-0.2500422811931017,-0.31416812746120326,0.10715684994123026,3.592448973735939
XGB+LSTM (50/50),GOOGL,recovery_2023,0.49193548387096775,-0.6596454028914681,-0.12653273461798442,-0.3677030087237997,0.041929057961701544,1.3890051825363088
XGB+LSTM (50/50),GOOGL,ai_boom_2024,0.4032258064516129,-0.8260734429851706,-0.1266149130592097,-0.35770393978594595,0.0687741935483871,-0.06456051023540932
XGB+LSTM (50/50),AMZN,bear_2022,0.46774193548387094,-1.4106990068545848,-0.35705922895540254,-0.46643685333150353,0.05047668799791044,1.914372777748586
XGB+LSTM (50/50),AMZN,recovery_2023,0.5564516129032258,2.5870346317066293,0.5173619399180289,-0.21184155320165332,-0.09430021848091502,-3.7132940871040643
XGB+LSTM (50/50),AMZN,ai_boom_2024,0.532258064516129,2.35665085352206,0.31528050811474784,-0.08371120807588583,0.011741935483871035,0.01048515102927805
XGB+LSTM (50/50),NVDA,bear_2022,0.5241935483870968,0.6789862536062536,0.11937345676828226,-0.36349017919335014,-0.06670366984458664,-2.428420600988119
XGB+LSTM (50/50),NVDA,recovery_2023,0.5887096774193549,4.13129654975428,1.9636456731865102,-0.10466339623228071,-0.1066379642719445,-4.997876201054908
XGB+LSTM (50/50),NVDA,ai_boom_2024,0.5564516129032258,2.0159080887207876,0.5795427224135983,-0.25024184909198544,-0.020451612903225724,-0.8219338951580224
XGB+LSTM (50/50),JPM,bear_2022,0.5887096774193549,1.0501597680114885,0.14843910031284668,-0.17491071324814078,-0.0907339689173306,-1.8476251357161093
